ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
49;Goldrute;Plantae;Asteraceae;Solidago;canadensis;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Götterbaum;Plantae;Simaroubaceae;Ailanthus;altissima;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0-7.5;;;P;;;;;;;;;I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Grau-Erle;Plantae;Betulaceae;Alnus;incana;;2500;1;;;;;x;;;;x;;x;;L6;;;;T4;;;F7;;;;;;;;;;;;;;;;R8;;;;;N;P;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
52;Große Fetthenne;Plantae;;Sedum;telephium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Großfrüchtige Moosbeere;Plantae;;Vaccinium;macrocarpon;;;5;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;acid;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z2;;H7;;;;
54;Grün-Erle;Plantae;Betulaceae;Alnus;viridis;;600;2;;;;;x;;;;x;;x;;L7;;;;T3;;;F6;;;;;;;;;;;;;;;;R5;N7;;;;N;P;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
55;Grüne Melde;Plantae;Amaranthaceae;Atriplex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Guter Heinrich, wilder Spinat;Plantae;;Blitum;bonus-henricus;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Haushuhn;Metazoa;Phasianidae;Gallus;gallus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Heidelbeere;Plantae;;Vaccinium;myrtillus ;;;3;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
